,white_first_move,black_move_1,black_move_1_prob,black_move_2,black_move_2_prob,black_move_3,black_move_3_prob,black_move_4,black_move_4_prob,black_move_5,black_move_5_prob,black_first_move,score,rating_diff,turns
0,e4,e5,0.32834966253513426,d5,0.1519983328549126,c5,0.13475427385719502,e6,0.10856914680832207,Nf6,0.04697820681405348,e5,42.60686734815754,108,3
1,e4,e5,0.3383027702164779,c5,0.18247788349937952,d5,0.17219620074594108,e6,0.0974077667476194,Nf6,0.0650618454320944,e5,39.546924723958064,-366,44
2,e4,e5,0.33913720612688036,d5,0.1724776724672169,e6,0.118861396330765,c5,0.10730804069469928,d6,0.05144630048327018,e5,42.97060950340691,534,65
3,e4,e5,0.33749811068956304,c5,0.1912228216811582,d5,0.16861974328906654,e6,0.0963029972567567,Nf6,0.06803236116709953,d6,0.0,-415,16
4,e4,e5,0.3552528766298224,d5,0.2099768026145941,c5,0.13253562304022642,e6,0.11147675430564394,Nf6,0.09712449522764581,d5,23.166874615290677,422,47
5,d4,e5,0.26793291105211314,d5,0.1997180317307627,c5,0.1964606749086266,Nf6,0.18622687270524713,e6,0.08281277774815327,Nf6,19.9567721828707,-422,32
6,e4,e5,0.3557084195387561,d5,0.20553944616452122,c5,0.13437964036975203,e6,0.11221938249201541,Nf6,0.09720416872222429,e5,39.30258040965439,422,25
7,d4,e5,0.2673206504970074,d5,0.20403437492546436,c5,0.19345960686556316,Nf6,0.18589098682615524,e6,0.08216200105359721,Nf6,19.926834505491843,-422,55
8,e4,e5,0.3445764320848613,d5,0.22652974170775136,c5,0.1409172828606379,Nf6,0.11124615652036494,e6,0.10002600597515074,c6,0.0,220,118
9,e4,e5,0.32969982702049333,d5,0.21766158525020288,c5,0.17649703257199947,Nf6,0.12638791348463244,e6,0.08660330200601551,d6,0.0,-220,102
10,e4,e5,0.3291939734585499,d5,0.16500966106036513,c5,0.12615718133549206,e6,0.1076157909224083,Nc6,0.05001717688443069,Nc6,6.428994412917978,120,96
11,e4,e5,0.3400927011190749,d5,0.16905965251148591,c5,0.14508400355775475,e6,0.10770995438726791,Nf6,0.05488175766660334,e5,41.63577549858152,24,45
12,e4,e5,0.3327947692473357,d5,0.17058703906673947,c5,0.14237082084691347,e6,0.10353773768532465,Nf6,0.04911113805626104,e5,41.68263301156293,-71,105
13,Nf3,e5,0.5336682276822458,d5,0.10914841269210523,Nc6,0.09886878822610067,c5,0.08730479533611485,e6,0.07920591748788675,Nc6,10.886281466801947,328,94
14,d4,e5,0.29364830037130285,d5,0.18844825606608429,c5,0.15466559968169644,e6,0.10790704807911242,Nf6,0.1045134462895341,e6,12.707165886766026,0,42
15,e4,e5,0.34655397786100256,d5,0.17571998797390387,c5,0.1566727262929721,e6,0.10702702204416412,Nf6,0.06743099613254912,e5,40.60839759570962,0,15
16,e4,e5,0.3174949912070548,d5,0.14731955256025292,c5,0.1229751796676478,e6,0.10668342954253283,Nc6,0.05808359675154411,e5,42.18884374120263,125,47
17,d4,e5,0.2895514159080219,d5,0.21339126729155566,c5,0.15438817795741117,Nf6,0.13488915526175715,e6,0.10037689617250092,Nf6,15.111989898124136,-15,105
18,e4,e5,0.33769217824630765,d5,0.21212496646458245,c5,0.16685055627023515,e6,0.09233350955459041,Nf6,0.08643021958267201,e5,37.71279038101894,-251,165
19,d4,e5,0.29512006352999365,d5,0.21343812341493995,c5,0.13363631454968714,Nf6,0.11412344793060523,e6,0.10921381171540295,d5,24.65976790195007,220,123
20,d4,e5,0.29675935362396155,d5,0.1945261596732852,e6,0.1200341522905941,c5,0.11742357638986084,Nf6,0.09173966892283175,e6,14.629695597053788,464,73
21,d4,e5,0.2954097841918991,d5,0.2026484639696856,c5,0.14644369934652285,Nf6,0.1171325560153755,e6,0.10820857361636255,d5,23.297129021940307,113,71
22,e4,e5,0.34840124178267995,d5,0.19963569379044765,c5,0.15896214773179934,e6,0.1022643634837893,Nf6,0.0861351507372343,e5,38.91018399462956,-9,70
23,e4,e5,0.35076731138460937,d5,0.19698957348452983,c5,0.15206938217272375,e6,0.10576777704106016,Nf6,0.082017208814883,e5,39.51812352980551,82,60
24,e4,e5,0.3490491028491039,d5,0.1923358588199056,c5,0.16366713952051168,e6,0.10318971109335434,Nf6,0.08641753501672647,e5,39.01474945773018,-19,32
25,f4,e5,0.40602604473582127,d5,0.18124383860279866,c5,0.16111330169497198,e6,0.10042743542530244,Nf6,0.05720751804562355,d5,20.004438200537734,6,17
26,e4,e5,0.34366893760778794,d5,0.18968965576528118,c5,0.17971821860177276,e6,0.0973572452948135,Nf6,0.08535297697071387,e5,38.365027006583155,-238,46
